,precision,recall,f1-score,support
cancel_order,1.0,0.6333333333333333,0.7755102040816326,30.0
change_account,0.8333333333333334,0.16666666666666666,0.2777777777777778,30.0
product_information,1.0,0.1,0.18181818181818182,30.0
track_order,0.6666666666666666,0.6,0.631578947368421,30.0
micro avg,0.8181818181818182,0.375,0.5142857142857142,120.0
macro avg,0.875,0.375,0.4666712777615033,120.0
weighted avg,0.875,0.375,0.4666712777615033,120.0
